comparison,p_value,active_features,active_group
HSP90B1_vs_TAB1,0.320856652623686,ABL2/AKR1A1/APBB1IP/ATOX1/ATP2A2/CELF1/CELF2/CEP350/CLIC4/CMPK1/CNN2/CPNE8/CSNK1D/EMC10/ENG/FXR1/GLS/GOLGB1/HMGB3/IRAK2/ITGAV/KCTD20/KRT10/LITAF/MAP3K8/NABP1/NINJ1/OTULIN/PLK3/PRDX4/PRKAR2A/PTGER4/PTP4A3/PTPN1/PUM1/QKI/RAC2/SEC63/SELENOF/SELENON/SMARCA5/SMOX/ST13/STIP1/STMP1/SUMO3/TMBIM6/ZMPSTE24,5/6/11/13/14/17
IRAK4_vs_TAB1,0.0560458102094623,CLIC4/EMC10/ENG/ITGAV/MAP3K8/PRDX4/PRKAR2A/PTPN1/PUM1/SELENOF/SMARCA5/STMP1,6/13/14
TRAF6_vs_TAB1,0.431592282194911,ATP2A2/CPNE8/GLS/IFI44/NABP1/OAS2/RBCK1/SAMHD1/SELENON/SP110/UBE2L6/USP18,17/31
IKBKB_vs_TAB1,0.103126093699076,ATP2A2/CELF2/GLS/NABP1/SELENON,17
RNF31_vs_TAB1,0.811472937291624,"",""
MEF2C_vs_TAB1,0.875076926076756,AZIN1/CCND3/FXR1/JUN/LGALS9/MAP3K8/PSMA1/PTGER4/PTPN1/PUM1/RAB1A/SMARCA5/STMP1/TNFRSF1B/UGCG/XRN2/ZMPSTE24,6/10/19
SBDS_vs_TAB1,0.970798293862515,"",""
CSNK1A1_vs_TAB1,0.658838093001719,ATP2A2/CELF2/GLS/NABP1/SELENON/TMBIM6,17
ARPC4_vs_TAB1,0.299294070961847,"",""
PPP2R1A_vs_TAB1,0.705482143749774,"",""
MIDN_vs_TAB1,0.538267566592934,"",""
XPR1_vs_TAB1,0.863350128004823,"",""
TYK2_vs_TAB1,0.0666260941339507,APOL6/DDX58/DTX3L/IFI35/IFI44/IFIH1/OAS1/OAS2/PARP9/PHACTR4/PML/PNPT1/SAMHD1/SP100/SP110/TRIM56/UBE2L6/USP18/XAF1,31
CYLD_vs_TAB1,0.862467795128192,"",""
ADO_vs_TAB1,0.0146485864351418,C6orf62/CCT7/DNPH1/EIF3D/ENO1/GADD45GIP1/MDH2/NDUFAF8/NME1/PHB/PSMB5/RPS26/SAR1B/TIMM13/UQCR11,34
PGM3_vs_TAB1,0.820944222326041,"",""
MAPK1_vs_TAB1,0.0537906291567759,ANP32E/ARF4/FXYD5/GEM/H2AFV/TOP2A,23/32
TLR2_vs_TAB1,0.416612861114261,"",""
STK11_vs_TAB1,0.261578191767136,"",""
SEPHS2_vs_TAB1,0.943253503638922,"",""
STAT2_vs_TAB1,0.0219057266237258,APOL6/DDX58/IFI44/IFIH1/OAS1/PARP9/PNPT1/RBCK1/SAMHD1/SP100/SP110/TRIM56/USP18,31
MAP3K7_vs_TAB1,0.596761555690934,CKS1B/H2AFV/TOP2A,32
RAB5C_vs_TAB1,0.386507533003846,HMGA2,7
ALG2_vs_TAB1,0.370390782129033,"",""
MYD88_vs_IFNAR1,0.844415907727014,"",""
IKBKG_vs_IFNAR1,0.53143051630847,"",""
TAB1_vs_IFNAR1,0.953614798140623,"",""
TXNDC17_vs_IFNAR1,0.873173563225726,"",""
FLI1_vs_IFNAR1,0.830956274997297,"",""
MAPK14_vs_IFNAR1,0.654436122219495,"",""
KIDINS220_vs_IFNAR1,0.0707352363018726,ARID1B/CD276/CEBPB/EIF4G3/ICOSLG/IRF1/NECTIN2/RELB,12
MAP2K1_vs_IFNAR1,0.659841655656638,BCAS2/EIF3J/EIF4E2/EIF5B/G3BP1/MCTS1/POLR2F/PTGES3/SRPRA/TRAPPC4,41
YEATS4_vs_IFNAR1,1.04933460721862e-13,ATG12/HMGB3/IFI6/IFNAR1/ILF3/NMI/OTULIN/PCLAF/PJA2/PPM1G/PSMA1/SELENOW/STIP1/TYMS,6/33
ATXN7L3_vs_IFNAR1,1.5082627443384e-16,ABCF1/ARID1B/ATG12/CD276/CSNK1A1/DDX60L/EIF4G3/FXR1/HMGB3/ICOSLG/IFI6/IFITM2/IFNAR1/IRF1/LGALS9/NECTIN2/NFE2L2/NMI/PJA2/PNP/PSMA1/PTPN1/RAC2/RELB/SELENOW/SKAP2/STIP1/SWAP70/ZFP36L2,6/12
AHR_vs_IFNAR1,1.34914313625228e-08,ARGLU1/ARID1B/C4orf3/CAPZA1/CD276/CEBPB/COPB2/DUSP23/EIF4G3/ETV3/GTF2B/HNRNPC/ICOSLG/IER5/IRF1/JAK1/LCP2/LPP/MED28/MRPL54/NECTIN2/NUMB/PBX3/PNP/PTBP3/RBM23/RBPJ/RELB/SCARB2/SERTAD2/SH3BGRL/SKAP2/SPTBN1/STAT5A/SWAP70/TEX264,3/8/9/12/27
PRDM1_vs_IFNAR1,0.382605529539784,ANP32B/HNRNPR/ILF3/KPNB1/MRPL57/PCLAF/PPM1G/RBBP4/SIVA1/SRRM1/TYMS/YWHAH,33
TNFAIP3_vs_IFNAR1,2.94369345511428e-16,ATG12/C5AR1/CD276/CSNK1A1/DDX60L/EIF4G3/ETHE1/FXR1/FYB1/HLA-C/HMGB3/ICOSLG/IFI6/IFITM2/IFNAR1/IRF1/LGALS9/MIR4435-2HG/NECTIN2/NFE2L2/NMI/PJA2/POLR1D/PPIC/PRDX1/PSMA1/RAC2/RBM23/RELB/SELENOW/SKAP2/SMARCA5/STIP1/SWAP70/WDR26,1/6/12
JUNB_vs_IFNAR1,0.846133839853608,"",""
TIRAP_vs_IFNAR1,0.264061549740918,ADAR/APOL6/EIF2AK2/EPSTI1/GPI/HELZ2/IFI35/IFI44/OAS2/PARP14/PARP9/PHACTR4/PLSCR1/SAMD9/SP100/STAT1/TRIM25/UBE2L6/USP18,16/31
TRIB1_vs_IFNAR1,1.89602395635284e-10,ATG12/C5AR2/CELF1/CSNK1A1/DDX60L/HLA-C/HMGB3/IFI6/IFITM2/IFNAR1/LGALS9/NFE2L2/NMI/PJA2/PSMA1/PTPRC/PUM1/RAC2/SELENOW/SMARCA5/STIP1,6
PICALM_vs_IFNAR1,0.340536384007319,"",""
EHMT2_vs_IFNAR1,2.35605380287471e-18,EIF4G3/FBXO32/GNAI3/ICOSLG/LAMP1/LY6E/NECTIN2/PNP/RELB/SNW1,2/12/22
STAT1_vs_IFNAR1,3.93400278565047e-52,ADAR/CHMP5/EIF2AK2/EPSTI1/FBXO32/HELZ2/IFI35/LY6E/MX2/OAS2/OASL/PARP14/PARP9/PHACTR4/PLSCR1/PML/RBCK1/SAMD9/SNW1/SP100/SP110/STAT1/TRIM25/UBE2L6/USP18,22/31
RELA_vs_IFNAR1,4.82382654323394e-11,ARID1B/CD276/CEBPB/EIF4G3/ICOSLG/IFI27L2/IRF1/JAK1/MED28/NECTIN2/PNP/RELB/SKAP2/SWAP70,3/7/12
TLR1_vs_IFNAR1,0.757075829859616,"",""
CEBPG_vs_IFNAR1,0.453815760841978,"",""
IRAK1_vs_IFNAR1,0.0140805292098095,"",""
MAP2K2_vs_IFNAR1,0.439473820037913,ARID1B/CD276/EIF4G3/ICOSLG/IRF1/NECTIN2/OSGIN2/PNP/RELB/SKAP2/SWAP70/TYMP,12/15
DNTTIP1_vs_IFNAR1,0.00269704310722756,BCAS2/EIF4E2/EIF5B/G3BP1/MCTS1/POLR2F/SRPRA/TRAPPC4,41
HSP90B1_vs_IFNAR1,0.70856446755846,ATG12/CD47/CSNK1A1/DDX60L/HLA-C/HMGB3/IFI6/IFITM2/IFNAR1/LGALS9/NFE2L2/NMI/PJA2/PRDX1/RAC2/SELENOW/SMARCA5/STIP1,6
IRAK4_vs_IFNAR1,0.777288370695401,ARGLU1/CD276/CEBPB/EIF4G3/ICOSLG/IRF1/MED28/NECTIN2/PNP/RELB/SERTAD2/SH3BGRL/SKAP2/TPRA1,3/12/13
TRAF6_vs_IFNAR1,3.87089266698749e-29,ATG12/HMGB3/IFNAR1/NMI/SELENOW/SNRPN/STIP1,1/6
IKBKB_vs_IFNAR1,0.220316424171308,"",""
RNF31_vs_IFNAR1,0.195742216028437,"",""
MEF2C_vs_IFNAR1,3.33704475632986e-23,ASS1/ATG12/C5AR1/CD58/CSNK1A1/DDX60L/GPI/HLA-C/HMGB3/IFI6/IFITM2/IFNAR1/LAMP1/LGALS9/NFE2L2/NMI/NUMB/PJA2/PSMA1/PTPN1/RAC2/SELENOW/SMARCA5/SPTBN1/STIP1,2/6/9/16
SBDS_vs_IFNAR1,3.08191240406196e-06,AGRN/BRIX1/CACYBP/MAT2A/NOP58/RPL7L1/RSL1D1,36
CSNK1A1_vs_IFNAR1,1.81267771171884e-09,ATG12/CD276/CSNK1A1/DDX60L/EIF4E2/EIF4G3/HMGB3/IFI6/IFNAR1/IRF1/LGALS9/MCTS1/NECTIN2/NMI/PJA2/POLR2F/RELB/SELENOW/SRPRA/STIP1,6/12/41
ARPC4_vs_IFNAR1,0.345705516328684,"",""
PPP2R1A_vs_IFNAR1,0.0905797471892418,CCT7/CFLAR/EIF3D/ENG/KRT10/NAA10/NDUFAF8/PDCD5/PRDX4/PRMT1/QKI/RBBP6/RCN1/SAR1B/SELENOF/SNU13/SRM/TIMM13/TUFM/VDAC1/WASF2/ZFAND5,14/34
MIDN_vs_IFNAR1,0.673385222417681,"",""
XPR1_vs_IFNAR1,0.491225032560098,CD276/CTSH/EIF4G3/GPI/IRF1/NECTIN2/PNP/RELB,12/16
TYK2_vs_IFNAR1,8.27489646851846e-52,ADAR/APOL6/CHMP5/CKS1B/DTX3L/EIF2AK2/EPSTI1/HELZ2/HMGB2/IFI44/IFI6/IFNAR1/MX2/NMI/NUP62/OAS1/OAS2/PARP14/PARP9/PHACTR4/PLSCR1/PNPT1/PTTG1/RAC2/RBCK1/SAMD9/SAMHD1/SELENOF/SELENOW/SP100/STAT1/STIP1/TOP2A/TRIM25/UBE2L6/USP18,6/14/31/32
CYLD_vs_IFNAR1,0.725001551683306,AGRN/BST2/GNAI3/LAMP1/MAT2A/RSL1D1,2/36
ADO_vs_IFNAR1,0.000101599359264105,CCT7/NDUFAF8/PDCD5/TIMM13/TUFM,34
PGM3_vs_IFNAR1,0.378229989592467,"",""
MAPK1_vs_IFNAR1,5.18474002998083e-52,ADAR/CHMP5/DTX3L/EIF2AK2/EPSTI1/HELZ2/IFI27L2/IFI35/IFI44/IFIH1/MRPL54/OAS1/OAS2/PARP14/PARP9/PHACTR4/PLSCR1/PNPT1/RBCK1/SAMD9/SP100/SP110/STAT1/TRIM25/UBE2L6/USP18,7/27/31
TLR2_vs_IFNAR1,0.645406183693683,"",""
STK11_vs_IFNAR1,0.275874291016524,"",""
SEPHS2_vs_IFNAR1,0.981226448797633,"",""
STAT2_vs_IFNAR1,1.87952549542449e-52,ADAR/APOL6/CHMP5/EIF2AK2/EIF4E2/EPSTI1/HELZ2/IFI44/IFIH1/MCTS1/OAS2/OASL/PARP14/PARP9/PHACTR4/PLSCR1/PNPT1/POLR2F/RBCK1/RNF213/SAMD9/SP110/STAT1/TRIM25/UBE2L6/USP18,31/41
MAP3K7_vs_IFNAR1,0.305211942178191,"",""
RAB5C_vs_IFNAR1,2.5748401068698e-13,LAMP1,2
ALG2_vs_IFNAR1,0.0436685583477666,"",""
MYD88_vs_TXNDC17,0.627919069118141,"",""
IKBKG_vs_TXNDC17,0.00819410336768787,"",""
TAB1_vs_TXNDC17,0.725437938094453,"",""
IFNAR1_vs_TXNDC17,0.741468104156189,"",""
FLI1_vs_TXNDC17,0.561931922909103,"",""
MAPK14_vs_TXNDC17,0.0593359375053984,"",""
KIDINS220_vs_TXNDC17,0.0253225431150648,"",""
MAP2K1_vs_TXNDC17,0.580371328339964,"",""
YEATS4_vs_TXNDC17,0.884356347579691,"",""
ATXN7L3_vs_TXNDC17,0.858092675886195,"",""
AHR_vs_TXNDC17,0.102339394764643,BTG2/CREM/EDF1/ETS1/ETV3/GTF2B/HES4/ID2/IER5/JUNB/KLF5/LIPA/MED13L/NCOA7/NFKB2/NFKBIZ/PRDM1/PTBP3/SERTAD2/STAT5A/SYF2/TCF25/TXNRD1/UXT/ZBTB10/ZBTB43/ZEB2,3
PRDM1_vs_TXNDC17,0.17120342564299,"",""
TNFAIP3_vs_TXNDC17,0.339426897176341,"",""
JUNB_vs_TXNDC17,0.654428037142735,ETV3/HES4/ID2/IER5/JUNB/KLF5/MED13L/PRDM1/PTBP3/SERTAD2/STAT3/SYF2/TCF25/ZBTB10,3
TIRAP_vs_TXNDC17,0.767900889990487,"",""
TRIB1_vs_TXNDC17,0.405606211644319,"",""
PICALM_vs_TXNDC17,0.83447016814442,AKIRIN1/BAZ1A/CPM/LYRM4/PTP4A1/STK10/TGFB1,20
EHMT2_vs_TXNDC17,0.279172651482127,"",""
STAT1_vs_TXNDC17,0.11155555783053,"",""
RELA_vs_TXNDC17,0.232567069750591,DNAJB6/HS3ST3B1/NAMPT/NECTIN3/OTUD1/WTAP,37
TLR1_vs_TXNDC17,0.64901102090485,"",""
CEBPG_vs_TXNDC17,1,"",""
IRAK1_vs_TXNDC17,0.419150463530776,"",""
MAP2K2_vs_TXNDC17,0.162403916495949,ATP5MC3/ATP5PF/ATP5PO/BOLA3/C8orf59/COPRS/DCTN6/EIF3G/ETFB/ETV3/FUOM/GAMT/MED13L/MIF/MRPL37/NDUFA10/NDUFA6/NDUFB5/PSMB4/PSMB8/PSMD14/PTBP3/RNF7/RPL26L1/SEC11A/TIMM8B/TXNDC17/UBE2Z/UBXN1/UFD1/UQCR10,3/24
DNTTIP1_vs_TXNDC17,0.297836800096696,TYMS,33
HSP90B1_vs_TXNDC17,0.223449023456748,"",""
IRAK4_vs_TXNDC17,0.0880725170018995,COMT/DNAJB6/ETV3/HES4/ID2/IER5/LDHB/LYN/MED13L/MSRA/NAMPT/NECTIN3/OSBPL8/PGD/PTBP3/SCP2/SCPEP1/SYF2/TPI1/ZC3H12A,3/11/37
TRAF6_vs_TXNDC17,0.447723526627721,"",""
IKBKB_vs_TXNDC17,0.447540963112781,"",""
RNF31_vs_TXNDC17,0.897490241374922,"",""
MEF2C_vs_TXNDC17,0.633623169611671,"",""
SBDS_vs_TXNDC17,0.211682142633791,"",""
CSNK1A1_vs_TXNDC17,0.293870919333656,"",""
ARPC4_vs_TXNDC17,0.471026277291009,"",""
PPP2R1A_vs_TXNDC17,0.301966626196574,"",""
MIDN_vs_TXNDC17,0.328701917227519,"",""
XPR1_vs_TXNDC17,0.139902458532333,"",""
TYK2_vs_TXNDC17,0.383250369111927,"",""
CYLD_vs_TXNDC17,0.000841239006578224,"",""
ADO_vs_TXNDC17,0.765284982203396,C8orf33/DNPH1/ENO1/FKBP1A/MDH2/NAA10/PRMT1/SAR1B/SRM/SSB/SSBP1,""
PGM3_vs_TXNDC17,0.666902638618379,"",""
MAPK1_vs_TXNDC17,0.0195281863472889,"",""
TLR2_vs_TXNDC17,0.244462523027916,"",""
STK11_vs_TXNDC17,0.283588346244306,"",""
SEPHS2_vs_TXNDC17,0.113234712615125,"",""
STAT2_vs_TXNDC17,0.0475323641807807,"",""
MAP3K7_vs_TXNDC17,0.425861976218711,"",""
RAB5C_vs_TXNDC17,0.0585825368745952,"",""
ALG2_vs_TXNDC17,0.825004922116506,"",""
MYD88_vs_FLI1,0.530372618880357,"",""
IKBKG_vs_FLI1,0.055434103818554,"",""
TAB1_vs_FLI1,0.101552937233434,"",""
IFNAR1_vs_FLI1,0.167366603587949,"",""
TXNDC17_vs_FLI1,0.995004939621477,"",""
MAPK14_vs_FLI1,0.368464859353437,"",""
KIDINS220_vs_FLI1,0.0564802821287751,"",""
MAP2K1_vs_FLI1,0.347607930961345,"",""
YEATS4_vs_FLI1,0.524362613197314,TYMS,33
ATXN7L3_vs_FLI1,0.438768291057308,"",""
AHR_vs_FLI1,0.00291385181031833,"",""
PRDM1_vs_FLI1,0.097502125351515,TYMS,33
TNFAIP3_vs_FLI1,0.813289749589224,"",""
JUNB_vs_FLI1,0.986727194422374,"",""
TIRAP_vs_FLI1,0.39237891168832,CTSH,16
TRIB1_vs_FLI1,0.125273216418435,AKIRIN1/CPM,20
PICALM_vs_FLI1,0.935649547922763,"",""
EHMT2_vs_FLI1,0.597714804172306,CHMP3/M6PR/NAPRT/RAB7A,2
STAT1_vs_FLI1,0.572732421896616,ADAR/EIF2AK2/EPSTI1/GNB1/IFI35/LY6E/OAS1/PARP9/PML/PNPT1/PRMT2/RAPGEF1/SP100/TAF7,22/31
RELA_vs_FLI1,0.0712561369790497,"",""
TLR1_vs_FLI1,0.741144454606177,"",""
CEBPG_vs_FLI1,0.794559210928641,"",""
IRAK1_vs_FLI1,0.859078407043108,ANXA4/BAG1/DAXX/DDAH2/HMGA2/ITGB7/STK17A/YME1L1,7/13
MAP2K2_vs_FLI1,0.149328674053084,BASP1/CLEC11A/COL6A1/EMC10/MANF/METRNL/OSGIN2/QKI,14/15
DNTTIP1_vs_FLI1,0.849659330053552,TYMS,33
HSP90B1_vs_FLI1,0.61124396248756,ITGB7/PPP1CB/PTPN12,13
IRAK4_vs_FLI1,0.000874842069001574,"",""
TRAF6_vs_FLI1,0.546343858428962,BASP1/CRTAP/EMC10/HDAC9,14
IKBKB_vs_FLI1,0.229584292364343,"",""
RNF31_vs_FLI1,0.516466317352233,ANKRD11/BASP1/CRTAP/HDAC9/SELENOF,14
MEF2C_vs_FLI1,0.024551381685517,AMPD3/CST3/CTSH/GPI/PDXK/PSMD11/PTX3/QSOX1,16
SBDS_vs_FLI1,0.167872584702262,"",""
CSNK1A1_vs_FLI1,0.0456283361133844,ABL2/ITGB7/NORAD/TNS3/ZYX,13
ARPC4_vs_FLI1,0.214040019119182,"",""
PPP2R1A_vs_FLI1,0.0100186665538586,"",""
MIDN_vs_FLI1,0.549057702543193,"",""
XPR1_vs_FLI1,0.0722848654910433,"",""
TYK2_vs_FLI1,0.22148754140637,ADAR/EPSTI1/IFI35/OAS1/PARP9/PML/SAMD9L/SP100,""
CYLD_vs_FLI1,0.130259756197127,"",""
ADO_vs_FLI1,0.796851721519096,"",""
PGM3_vs_FLI1,0.196818420791544,"",""
MAPK1_vs_FLI1,0.346516998153997,AKIRIN1/CPM/HS3ST3B1/NECTIN3,20/37
TLR2_vs_FLI1,0.814329435917015,"",""
STK11_vs_FLI1,0.132368070187944,"",""
SEPHS2_vs_FLI1,0.597924411029707,"",""
STAT2_vs_FLI1,0.259110954073381,"",""
MAP3K7_vs_FLI1,0.0766986288097752,"",""
RAB5C_vs_FLI1,0.690558908567405,"",""
ALG2_vs_FLI1,0.605840421289645,AFF4/CLEC11A/METRNL,15
MYD88_vs_MAPK14,1.06021456237186e-05,ANP32E/ARID4B/BUB3/CLIC4/CRTAP/DOCK8/ENG/FOSL2/HDAC9/HIVEP3/IER5/KCNQ4/PRDX4/RAD21/RBBP6/RUNX1/SELENOF/STMN1/SYF2/TOP2A,3/14/32
IKBKG_vs_MAPK14,2.10629159400921e-05,AP3B1/ARID4B/FBXW5/FERMT3/FOSL2/GTF2B/JMJD1C/KCTD20/LDHB/MYL9/NUDT14/PLEK/SATB1/SLC43A3/SMS/STARD4/UXS1/VKORC1/ZC3H12A,3/11/21
TAB1_vs_MAPK14,0.419526486757112,"",""
IFNAR1_vs_MAPK14,0.202898144483853,ANXA1/APOL6/ATG12/CD47/CD58/CDC37/CNPY3/FXR1/FYB1/GBP3/IFNAR1/LITAF/MAP3K8/MRPL15/OAS2/OASL/PLCG2/PLD4/PML/PRDX1/PTPRC/RAB1A/RBCK1/SELENOW/STIP1/STMP1/TAP1/UBE2L6/USP18/XAF1/ZMPSTE24,6/31
TXNDC17_vs_MAPK14,0.975672935954242,"",""
FLI1_vs_MAPK14,0.563356952821662,"",""
KIDINS220_vs_MAPK14,0.000292251159188808,CNN2/ERBIN/HOOK3/KCTD20/LAP3/NUDT14/PFKP/PPP1CB/SLC16A3/SLC43A3/SMS/STARD4/TPRA1/UXS1/ZC3H12A/ZYX,10/11/13
MAP2K1_vs_MAPK14,0.0029081673624207,CDC42SE1/CYTH2/DENND3/DENND4A/GMFG/GRB2/NDFIP1/NUCB1/TIPRL,18
YEATS4_vs_MAPK14,0.000639084979933109,"",""
ATXN7L3_vs_MAPK14,2.24467715241054e-09,AP3B1/ATG12/CARD19/CD47/CDC37/CDK13/CNPY3/FAM89B/FBXW5/FERMT3/FKBP8/FYB1/HPCAL1/IFNAR1/IL1RN/IRF2BP2/JMJD1C/MAP3K8/MRPL15/MYL9/NCK2/NEK6/PEBP1/PLCG2/PLEK/RGS10/STMP1/TAOK3/VKORC1/ZMPSTE24,4/6/12/21
AHR_vs_MAPK14,3.15817354573756e-05,ANP32E/ARID4B/BUB3/CENPF/CREBRF/CREM/DOCK8/DRAP1/DUSP23/EIF3I/EIF4EBP1/ELL2/EMC6/FOSL2/GTF2B/HES4/HIVEP3/ID2/IER5/KCTD20/KLF6/LMO2/LSM7/MEF2A/MRPL18/MRPL54/MSRA/NDUFV2/NSRP1/NUDT14/PBX3/PCBP1/PPP1R7/PSMA5/PYCARD/RAD21/RNF5/RUNX1/RUNX3/SATB1/SCAMP3/SNRPD2/STAT3/STUB1/SYF2/TOMM20/TOP2A/UXT/ZBTB43/ZC3H12A,3/11/27/32
PRDM1_vs_MAPK14,0.884017157023868,"",""
TNFAIP3_vs_MAPK14,0.00014515729246587,AC008105-3/AC245297-3/ANKRD11/ATG12/BTG3/C3orf80/CCDC59/CD37/CD47/CDK13/CHCHD7/CLIC4/CPD/CRTAP/EIF1B/EIF2S2/ELOA/ENG/EPB41L4A-AS1/ETHE1/FAAP20/FAM129A/FAM133B/FAM177A1/FAM89B/FAM96B/FKBP8/FYB1/GARS/GPATCH2L/H1FX/HDAC9/HMGN3/HPCAL1/KCNQ4/MAP3K7CL/MAP3K8/METTL9/MRPL15/MRPS6/MYH9/NCK2/NEK6/PEBP1/PLCG2/PLXDC2/PNISR/PNRC2/POLR1D/PRPF4B/QKI/RAB1A/RBBP6/RBMS1/RFLNB/RGS10/RSRC2/SCNM1/SELENOF/SEPT11/SPATS2L/STIP1/STMP1/SUSD6/THAP2/TM2D2/UBE2F/WSB1/ZFAND3/ZMPSTE24,1/4/6/14
JUNB_vs_MAPK14,2.55323765587351e-06,AZIN1/CDC42SE1/CNPY2/COX17/CYTH2/DENND3/DENND4A/EIF5/GMFG/GRB2/JUN/NBN/NDFIP1/NUCB1/PIM1/PRDX5/PSD3/PSMA3/PSME1/RPS27L/TIPRL,18/19
TIRAP_vs_MAPK14,0.0331578227085096,AMPD3/CST3/DBNL/GPI/OGA/PFKL/PSMD11/PTX3/YIPF3,16
TRIB1_vs_MAPK14,0.0650602774854915,ATG12/CD58/CDC37/FXR1/FYB1/KCTD20/LGALS9/LITAF/MAP3K8/MRPL15/NUDT14/PLCG2/STMP1/TENT5A/UXS1/ZC3H12A,""
PICALM_vs_MAPK14,0.0173290300874622,"",""
EHMT2_vs_MAPK14,0.177637896181556,"",""
STAT1_vs_MAPK14,0.000915435845746589,COPS2/EIF2S1/EIF2S3/EIF4G1/G3BP2/OAS2/PML/RBCK1/SYNCRIP/TAF1D/TIMM17A/UBE2A/UBE2L6/USP18,30/31
RELA_vs_MAPK14,5.39633244504805e-06,ARID4B/ARL6IP5/BAG1/DNAJC3/DRAP1/FAM89B/FOSL2/HES4/HPCAL1/IER5/IRF2BP2/MEF2A/MORF4L2/NEK6/PCBP1/PEA15/PEBP1/PHLDA2/PSMD13/RGS10/RUNX1/SATB1/SYF2/TPRA1/YTHDF2/ZBTB43,3/4/7/12/13/35
TLR1_vs_MAPK14,9.87104974816356e-07,ARID4B/GRB2/GTF2B/IER5/NDFIP1/PRKDC/RUNX1/SATB1/SYF2/TIPRL/TYMS/YWHAH/ZBTB43,3/18/33
CEBPG_vs_MAPK14,0.0811463960882224,"",""
IRAK1_vs_MAPK14,0.00092629519689956,ANKRD11/CLIC4/CNN2/COL6A1/CRTAP/DNAJC3/ENG/ERBIN/GMFG/GRB2/HOOK3/KCNQ4/MORF4L2/MYH9/NDFIP1/PDLIM7/PEA15/PHLDA2/PRDX4/PRKAR2A/RBBP6/SDF2L1/SELENOF/TIPRL/TPRA1/XRN2/ZYX,7/10/13/14/18
MAP2K2_vs_MAPK14,0.00122901409773398,ANKRD11/CLIC4/CRTAP/EIF2S2/ENG/HDAC9/HOOK3/IER2/IL1A/KCNQ4/MYH9/NCAM1/PRDX4/QKI/RALA/RBBP6/RFLNB/SELENOF/TNFRSF1B/TSPO/UGCG/VEGFA/WDR1/XRN2,10/14/15
DNTTIP1_vs_MAPK14,0.0289051235166212,EXO5/PCLAF/PRKDC/SIVA1/TYMS/YWHAH,33
HSP90B1_vs_MAPK14,6.43477334509242e-07,ANKRD11/ARF6/ATG12/CD47/CD58/CDC37/CHTOP/CLIC4/CNN2/CNPY3/CRTAP/CSNK1D/DNAJC15/EIF2S2/EMC10/ENG/ERBIN/ERP29/FXR1/FYB1/GBP3/GOLGB1/HDAC9/IFNAR1/KCNN4/KCNQ4/KCTD20/LAP3/LGALS9/MAP3K8/MFF/MPC2/MRPL15/MYH9/NUDT14/PDIA4/PDLIM7/PLCG2/PRDX1/PRDX4/PRKAR2A/PSMA1/PTP4A3/QKI/RAB1A/RBBP6/RFLNB/SELENOF/SELENOW/SLC43A3/SMS/STARD4/STIP1/STMP1/TALDO1/TMEM50A/TNPO1/TNS3/TPRA1/UXS1/ZC3H12A/ZMPSTE24/ZYX,5/6/11/13/14
IRAK4_vs_MAPK14,0.00520370229180423,ANKRD11/ANP32E/ARID4B/BUB3/CKS1B/CLIC4/CRTAP/DOCK8/GRB2/HDAC9/KCNQ4/MED28/SATB1/TOP2A/TPRA1,3/13/14/18/32
TRAF6_vs_MAPK14,8.81377194548872e-08,ANKRD11/ARF6/ARL6IP5/ATG12/BAG6/CD47/CDC5L/CDK13/CHTOP/CLIC4/CRTAP/DUSP6/ECM1/ENG/ERBIN/FAM89B/FKBP8/FXR1/HDAC9/HNRNPDL/HPCAL1/IER5/IFNAR1/IFNGR2/IL1RN/KCMF1/KCNN4/KCNQ4/LMAN2/MAP3K8/MED8/MRPL20/MRPS36/MYH9/NCK2/NEK6/NFAT5/PAFAH1B1/PAIP2/PDLIM7/PEBP1/PHIP/PRDX4/PRKAR2A/PSMC6/PSMD13/PTPRJ/QKI/RAB14/RAB1A/RBBP6/RFLNB/RGS10/RICTOR/SEC61A1/SELENOF/SLC39A1/STIP1/STMP1/TAOK3/TEX264/TNPO1/TPRA1,3/4/5/6/8/13/14/35
IKBKB_vs_MAPK14,3.99677385089876e-08,ANKRD11/ANP32E/ARID4B/BUB3/CARD19/CDK13/CENPF/CKS1B/CLIC4/CRTAP/DNAJC15/DOCK8/DRAP1/ELL2/FAM89B/FKBP8/FOSL2/GOLGB1/HDAC9/HES4/HIVEP3/HMGB2/HPCAL1/IER5/IL1RN/KCNN4/KCNQ4/LMO2/MESD/MRPL18/NBN/NCK2/NEK6/NFAT5/PAFAH1B1/PEBP1/PSME1/PTPRJ/PYCARD/RAD21/RBBP6/RGS10/RNF5/RPS27L/RUNX1/SATB1/SELENOF/SMOX/STAT3/STUB1/SYF2/TNPO1/TOP2A/UBE2S/UXT/ZBTB43/ZNF451,3/4/5/14/17/19/27/28/32
RNF31_vs_MAPK14,0.000116850807442235,ARL6IP5/BAG6/CDC42SE1/CDC5L/CLIC4/CRTAP/CYTH2/DENND4A/EIF2S2/GMFG/GRB2/HDAC9/KCMF1/KCNQ4/MOB1A/MRPS36/MYH9/NDFIP1/PRDX4/PSMC6/PSMD13/RAB14/RASGEF1B/RBBP6/RFLNB/TIPRL/YTHDF2,14/18/35
